Depto_Cod1;Depto_Cod2;Departamento;Munpio_Cod1;Munpio_Cod2;Municipio
05;5;Antioquia;05001;5001;Medellín
05;5;Antioquia;05002;5002;Abejorral
05;5;Antioquia;05004;5004;Abriaquí
05;5;Antioquia;05021;5021;Alejandría
05;5;Antioquia;05030;5030;Amagá
05;5;Antioquia;05031;5031;Amalfi
05;5;Antioquia;05034;5034;Andes
05;5;Antioquia;05036;5036;Angelópolis
05;5;Antioquia;05038;5038;Angostura
05;5;Antioquia;05040;5040;Anorí
05;5;Antioquia;05042;5042;Santafé de Antioquia
05;5;Antioquia;05044;5044;Anza
05;5;Antioquia;05045;5045;Apartadó
05;5;Antioquia;05051;5051;Arboletes
05;5;Antioquia;05055;5055;Argelia
05;5;Antioquia;05059;5059;Armenia
05;5;Antioquia;05079;5079;Barbosa
05;5;Antioquia;05086;5086;Belmira
05;5;Antioquia;05088;5088;Bello
05;5;Antioquia;05091;5091;Betania
05;5;Antioquia;05093;5093;Betulia
05;5;Antioquia;05101;5101;Ciudad Bolívar
05;5;Antioquia;05107;5107;Briceño
05;5;Antioquia;05113;5113;Buriticá
05;5;Antioquia;05120;5120;Cáceres
05;5;Antioquia;05125;5125;Caicedo
05;5;Antioquia;05129;5129;Caldas
05;5;Antioquia;05134;5134;Campamento
05;5;Antioquia;05138;5138;Cañasgordas
05;5;Antioquia;05142;5142;Caracolí
05;5;Antioquia;05145;5145;Caramanta
05;5;Antioquia;05147;5147;Carepa
05;5;Antioquia;05148;5148;El Carmen de Viboral
05;5;Antioquia;05150;5150;Carolina
05;5;Antioquia;05154;5154;Caucasia
05;5;Antioquia;05172;5172;Chigorodó
05;5;Antioquia;05190;5190;Cisneros
05;5;Antioquia;05197;5197;Cocorná
05;5;Antioquia;05206;5206;Concepción
05;5;Antioquia;05209;5209;Concordia
05;5;Antioquia;05212;5212;Copacabana
05;5;Antioquia;05234;5234;Dabeiba
05;5;Antioquia;05237;5237;Don Matías
05;5;Antioquia;05240;5240;Ebéjico
05;5;Antioquia;05250;5250;El Bagre
05;5;Antioquia;05264;5264;Entrerrios
05;5;Antioquia;05266;5266;Envigado
05;5;Antioquia;05282;5282;Fredonia
05;5;Antioquia;05284;5284;Frontino
05;5;Antioquia;05306;5306;Giraldo
05;5;Antioquia;05308;5308;Girardota
05;5;Antioquia;05310;5310;Gómez Plata
05;5;Antioquia;05313;5313;Granada
05;5;Antioquia;05315;5315;Guadalupe
05;5;Antioquia;05318;5318;Guarne
05;5;Antioquia;05321;5321;Guatapé
05;5;Antioquia;05347;5347;Heliconia
05;5;Antioquia;05353;5353;Hispania
05;5;Antioquia;05360;5360;Itagui
05;5;Antioquia;05361;5361;Ituango
05;5;Antioquia;05364;5364;Jardín
05;5;Antioquia;05368;5368;Jericó
05;5;Antioquia;05376;5376;La Ceja
05;5;Antioquia;05380;5380;La Estrella
05;5;Antioquia;05390;5390;La Pintada
05;5;Antioquia;05400;5400;La Unión
05;5;Antioquia;05411;5411;Liborina
05;5;Antioquia;05425;5425;Maceo
05;5;Antioquia;05440;5440;Marinilla
05;5;Antioquia;05467;5467;Montebello
05;5;Antioquia;05475;5475;Murindó
