,COLE_COD_DANE_ESTABLECIMIENTO,PUNT_GLOBAL,sociales_ciudanas_rank,c_naturales_rank,matematicas_rank,lectura_critica_rank,ingles_rank,COLE_COD_DANE_SEDE,COLE_JORNADA,COLE_MCPIO_UBICACION,COLE_DEPTO_UBICACION,COLE_GENERO,COLE_CALENDARIO,COLE_BILINGUE,COLE_CARACTER,COLE_SEDE_PRINCIPAL,COLE_AREA_UBICACION,COLE_COD_MCPIO_UBICACION,COLE_COD_DEPTO_UBICACION,Punt_lectura_critica_mean_2017,Punt_matematicas_mean_2017,Punt_c_naturales_mean_2017,Punt_sociales_ciudadanas_mean_2017,Punt_ingles_mean_2017,Punt_global_mean_2017,Punt_lectura_critica_mean_2018,Punt_matematicas_mean_2018,Punt_c_naturales_mean_2018,Punt_sociales_ciudadanas_mean_2018,Punt_ingles_mean_2018,Punt_global_mean_2018,Punt_lectura_critica_mean_2019,Punt_matematicas_mean_2019,Punt_c_naturales_mean_2019,Punt_sociales_ciudadanas_mean_2019,Punt_ingles_mean_2019,Punt_global_mean_2019,Punt_lectura_critica_mean_2020,Punt_matematicas_mean_2020,Punt_c_naturales_mean_2020,Punt_sociales_ciudadanas_mean_2020,Punt_ingles_mean_2020,Punt_global_mean_2020,Punt_lectura_critica_mean_2021,Punt_matematicas_mean_2021,Punt_c_naturales_mean_2021,Punt_sociales_ciudadanas_mean_2021,Punt_ingles_mean_2021,Punt_global_mean_2021,COLE_NOMBRE_SEDE,direccion,telefono,zona,niveles,caracter,especialidad,idiomas,correo electronico,modelos educativos,capacidades excepcionales,discapacidades,matricula contratada,estrato socio-economico
0,105001007919,252.5,2.0,5.0,3.0,1.0,4.0,105001007919,MAÑANA,MEDELLÍN,ANTIOQUIA,MIXTO,A,N,ACADÉMICO,S,URBANO,5001,5,55.07692307692308,50.88461538461539,53.26923076923077,54.42307692307692,50.69230769230769,266.0,56.096774193548384,51.70967741935484,50.29032258064516,51.41935483870968,51.80645161290322,261.6774193548387,55.95555555555556,52.4,47.55555555555556,50.86666666666667,50.73333333333333,258.0444444444444,51.8,47.0,45.27272727272727,48.54545454545455,45.29090909090909,239.7090909090909,55.64,52.92,50.72,49.92,51.1,261.02,COLEGIO SAGRADA FAMILIA ALDEA PABLO VI,KR 30 100 B 30 ,5290009,URBANA,"PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA",TÉCNICO/ACADEMICO,"OTRO,COMERCIAL,ACADÉMICA",,sagradafamiliahpar@yahoo.es,EDUCACIÓN TRADICIONAL,,,SI,
1,105001010928,282.0,3.0,4.0,5.0,1.0,2.0,105001010928,COMPLETA_UNICA,MEDELLÍN,ANTIOQUIA,MIXTO,A,N,ACADÉMICO,S,URBANO,5001,5,62.095238095238095,55.0,56.47619047619048,57.61904761904762,60.095238095238095,289.8095238095238,57.82608695652174,50.60869565217392,51.0,53.60869565217392,55.43478260869565,267.0869565217391,59.93939393939394,56.36363636363637,55.60606060606061,55.75757575757576,61.06060606060606,286.1818181818182,58.17857142857143,54.96428571428572,51.535714285714285,55.392857142857146,53.10714285714285,274.2857142857143,58.25,52.16666666666666,52.333333333333336,54.91666666666666,57.583333333333336,273.25,CENTRO EDUCACIONAL DON BOSCO,KR 66 94 42 ,2374007/2373726,URBANA,"PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA",ACADÉMICO,ACADÉMICA,,luferbet@yahoo.es lerincedbos240@hotmail.com,EDUCACIÓN TRADICIONAL,,,NO,
2,305001000077,281.0,5.0,4.0,3.0,2.0,1.0,305001000077,COMPLETA_UNICA,MEDELLÍN,ANTIOQUIA,MIXTO,B,N,ACADÉMICO,S,RURAL,5001,5,57.689655172413794,55.93103448275862,54.310344827586206,57.89655172413793,68.62068965517241,286.9655172413793,61.0,53.77272727272727,56.45454545454545,55.40909090909091,74.5,290.1363636363636,59.90625,56.0,54.53125,54.875,74.65625,288.6875,55.24324324324324,50.2972972972973,48.08108108108108,47.972972972972975,69.51351351351352,259.27027027027026,59.16666666666666,56.25,54.29166666666666,54.91666666666666,74.875,288.0416666666667,EL NUEVO COLEGIO THE NEW SCHOOL,KR 9 11 SUR 338,5207270,RURAL,"PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA",ACADÉMICO,ACADÉMICA,,correo@thenewschool.edu.co,EDUCACIÓN TRADICIONAL,,,NO,
3,305001000093,280.5,2.0,3.0,5.0,1.0,4.0,305001000093,MAÑANA,MEDELLÍN,ANTIOQUIA,MIXTO,A,N,ACADÉMICO,S,URBANO,5001,5,54.75,49.875,49.375,53.125,48.375,257.375,53.85714285714285,49.42857142857143,45.85714285714285,48.42857142857143,50.285714285714285,247.28571428571428,60.888888888888886,53.888888888888886,53.44444444444444,55.77777777777778,56.77777777777778,280.3333333333333,61.125,60.875,52.0,60.0,66.625,295.625,59.55555555555556,54.333333333333336,55.77777777777778,53.333333333333336,59.0,280.1111111111111,INSTITUCION EDUCATIVA PRADOS VERDES,KR 46 60 09 ,2542753,URBANA,"PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA",ACADÉMICO,ACADÉMICA,,colegiopradosverdes@gmail.com,EDUCACIÓN TRADICIONAL,,DISCAPACIDAD INTELECTUAL,NO,
4,305001000450,299.0,2.0,5.0,3.0,1.0,4.0,305001000450,MAÑANA,MEDELLÍN,ANTIOQUIA,MIXTO,A,N,ACADÉMICO,S,URBANO,5001,5,64.47368421052632,60.78947368421053,60.526315789473685,65.05263157894737,57.42105263157895,311.5263157894737,61.36363636363637,61.5,60.54545454545455,58.18181818181818,62.22727272727273,302.59090909090907,63.05882352941177,61.47058823529412,58.70588235294117,59.64705882352941,60.70588235294117,303.52941176470586,58.65384615384615,58.30769230769231,55.76923076923077,58.42307692307692,52.26923076923077,286.84615384615387,62.48148148148148,60.92592592592592,58.25925925925926,59.74074074074074,61.03703703703704,301.9259259259259,COLEGIO DE MARIA,KR 51 B 89 01 ,2135726,URBANA,"PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA",ACADÉMICO,ACADÉMICA,INGLÉS,secretaria@coldemaria.edu.co,EDUCACIÓN TRADICIONAL,,,NO,
5,305001003491,309.0,4.0,5.0,3.0,1.0,2.0,305001003491,COMPLETA_UNICA,MEDELLÍN,ANTIOQUIA,FEMENINO,A,N,ACADÉMICO,S,URBANO,5001,5,62.90909090909091,62.6,61.69090909090909,61.654545454545456,64.41818181818182,311.8727272727273,64.37704918032787,60.57377049180328,59.78688524590164,60.75409836065574,66.08196721311475,308.72131147540983,63.5925925925926,62.03703703703704,60.31481481481482,59.75925925925926,66.81481481481481,309.22222222222223,63.86538461538461,62.26923076923077,58.80769230769231,60.42307692307692,61.90384615384615,306.9230769230769,63.395833333333336,63.0,59.5625,61.3125,66.70833333333333,311.0208333333333,COLEGIO CALASANZ CAMPESTRE ESCOLAPIAS,CL 53 76 A 130 ,6040836 ,URBANA,"PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA",ACADÉMICO,ACADÉMICA,,colegio@cce.edu.co,EDUCACIÓN TRADICIONAL,,"DISCAPACIDAD INTELECTUAL,DISCAPACIDAD VISUAL BAJA VISIÓN IRREVERSIBLE,SÍNDROME DE DOWN,DISCAPACIDAD VISUAL CEGUERA",NO,
6,305001003505,303.0,4.0,5.0,3.0,2.0,1.0,305001003505,COMPLETA_UNICA,MEDELLÍN,ANTIOQUIA,MIXTO,A,N,ACADÉMICO,S,URBANO,5001,5,59.35714285714285,57.25,56.392857142857146,57.785714285714285,63.142857142857146,290.67857142857144,64.125,58.25,58.75,59.0,64.75,302.0,62.66666666666666,56.66666666666666,53.47619047619048,56.23809523809524,64.57142857142857,289.0952380952381,60.78260869565217,61.34782608695652,57.56521739130435,60.60869565217392,63.69565217391305,301.69565217391306,61.66666666666666,59.583333333333336,58.19444444444444,58.388888888888886,66.83333333333333,300.25,COLEGIO SANTA CLARA DE ASIS,CL 34 B 82 34 ,322 45 83 - 3148219125,URBANA,"PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA",ACADÉMICO,ACADÉMICA,,fminmaculada@yahoo.es,EDUCACIÓN TRADICIONAL,,,NO,
7,305001003513,298.5,4.0,5.0,2.0,3.0,1.0,305001003513,MAÑANA,MEDELLÍN,ANTIOQUIA,MIXTO,A,N,ACADÉMICO,S,URBANO,5001,5,62.267857142857146,62.5,62.17857142857143,61.535714285714285,68.14285714285714,312.875,61.76923076923077,61.53846153846154,59.42307692307692,60.44230769230769,66.88461538461539,306.3269230769231,61.16279069767442,59.093023255813954,54.81395348837209,55.81395348837209,65.04651162790698,291.4418604651163,58.6,61.577777777777776,56.11111111111112,59.977777777777774,61.51111111111111,296.26666666666665,63.61702127659574,60.765957446808514,56.80851063829788,58.7872340425532,67.76595744680851,303.0,INSTITUTO COLOMBO VENEZOLANO,KR 84 33 1 ,2509648,URBANA,"PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA",ACADÉMICO,ACADÉMICA,,rectoria@icolven.edu.co,EDUCACIÓN TRADICIONAL,,"DISCAPACIDAD FÍSICA,SÍNDROME DE DOWN,TRASTORNO DEL ESPECTRO AUTISTA",NO,
8,305001003599,310.0,4.0,5.0,2.0,3.0,1.0,305001003599,COMPLETA_UNICA,MEDELLÍN,ANTIOQUIA,MIXTO,A,N,ACADÉMICO,S,URBANO,5001,5,61.81818181818182,61.54545454545455,60.35353535353536,62.14141414141414,68.83838383838383,310.16161616161617,62.8421052631579,62.68421052631579,61.63157894736842,62.87368421052632,70.22105263157894,315.5157894736842,62.647619047619045,63.10476190476191,57.39047619047619,58.46666666666667,69.07619047619048,305.2952380952381,62.26923076923077,59.97115384615385,56.55769230769231,60.625,69.8173076923077,303.08653846153845,64.78260869565217,61.26086956521739,59.30434782608695,61.31521739130435,71.77173913043478,312.19565217391306,COLEGIO SAN JOSE DE LA SALLE,CL 9 A 10 101 ,3220022/4030125,URBANA,"PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA",ACADÉMICO,ACADÉMICA,,sanjose@delasalle.edu.co,EDUCACIÓN TRADICIONAL,,,NO,
9,305001003629,257.0,4.0,5.0,3.0,1.0,2.0,305001003629,MAÑANA,MEDELLÍN,ANTIOQUIA,MIXTO,A,N,ACADÉMICO,S,URBANO,5001,5,52.81818181818182,48.27272727272727,52.09090909090909,49.81818181818182,56.0,255.8181818181818,58.375,54.375,56.375,57.75,62.0,285.625,55.36842105263158,49.42105263157895,49.578947368421055,48.73684210526316,59.1578947368421,257.0,55.1578947368421,52.36842105263158,49.10526315789474,54.0,53.68421052631579,263.63157894736844,58.5,56.5625,53.9375,51.0,62.9375,278.0,INSTITUTO PEDAGOGICO CLARET,KR 46 72 43 ,2631824,URBANA,"PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA",ACADÉMICO,ACADÉMICA,,ipeclaret@hotmail.com paulis44@hotmail.com,EDUCACIÓN TRADICIONAL,,"DISCAPACIDAD INTELECTUAL,LESIÓN NEUROMUSCULAR,DISCAPACIDAD VISUAL BAJA VISIÓN IRREVERSIBLE,DISCAPACIDAD MÚLTIPLE",NO,
